[INFO][tm:2018-12-28 20:19:38,563][pt:7032:272][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:19:38] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:19:38,624][pt:7032:272][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:19:38] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:19:38,842][pt:7032:272][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:19:38,842][pt:7032:272][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] dddddddd
[INFO][tm:2018-12-28 20:19:38,844][pt:7032:272][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:19:38] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:19:38,901][pt:7032:272][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:19:38] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:19:39,522][pt:7032:272][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:19:39,522][pt:7032:272][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] dddddddd
[INFO][tm:2018-12-28 20:19:39,523][pt:7032:272][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:19:39] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:19:39,576][pt:7032:272][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:19:39] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:19:51,332][pt:8260:5352][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Restarting with stat
[WARNING][tm:2018-12-28 20:19:52,888][pt:9876:8912][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Debugger is active!
[INFO][tm:2018-12-28 20:19:52,898][pt:9876:8912][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Debugger PIN: 841-965-237
